ticker,volume,open,close,high,low,time,transactions
AAPL,64004,210.17,210.19,210.22,210.11,1751985600000,1147
AAPL,54039,210.19,210.21,210.25,210.13,1751985660000,1122
AAPL,66902,210.20,210.23,210.32,210.17,1751985720000,1275
AAPL,57640,210.24,210.23,210.28,210.17,1751985780000,1036
AAPL,70101,210.23,210.22,210.23,210.13,1751985840000,1179
AAPL,278178,210.22,210.17,210.25,209.71,1751985900000,4375
AAPL,114661,210.16,210.06,210.21,210.02,1751985960000,1577
AAPL,75484,210.07,210.10,210.20,210.03,1751986020000,1182
AAPL,60183,210.10,210.12,210.16,210.05,1751986080000,1082
AAPL,152635,210.14,210.39,210.43,210.05,1751986140000,1973
AAPL,156276,210.38,210.43,210.62,210.36,1751986200000,2033
AAPL,145207,210.41,210.59,210.71,210.41,1751986260000,1871
AAPL,134469,210.60,210.19,210.60,210.16,1751986320000,1825
AAPL,63558,210.18,210.25,210.34,210.08,1751986380000,1144
AAPL,106971,210.27,210.44,210.52,210.16,1751986440000,1537
AAPL,80088,210.44,210.36,210.49,210.35,1751986500000,1220
AAPL,49802,210.36,210.30,210.46,210.30,1751986560000,904
AAPL,98877,210.30,210.43,210.52,210.30,1751986620000,1303
AAPL,143157,210.45,210.79,210.80,210.44,1751986680000,2056
AAPL,100459,210.75,210.73,210.83,210.70,1751986740000,1369
AAPL,108528,210.73,210.96,210.96,210.72,1751986800000,1477
AAPL,183716,210.97,211.13,211.22,210.91,1751986860000,2655
AAPL,122725,211.13,211.05,211.22,210.96,1751986920000,1650
AAPL,119717,211.05,211.08,211.22,211.04,1751986980000,1637
AAPL,81935,211.08,211.03,211.23,211.01,1751987040000,1254
AAPL,87568,211.03,210.98,211.06,210.89,1751987100000,1443
AAPL,56287,210.98,211.02,211.10,210.92,1751987160000,1036
AAPL,120926,211.02,211.14,211.28,210.99,1751987220000,1680
AAPL,59260,211.15,211.10,211.19,211.00,1751987280000,1193
AAPL,51832,211.11,211.16,211.19,211.07,1751987340000,961
AAPL,89727,211.15,211.27,211.32,211.15,1751987400000,1294
AAPL,109721,211.27,211.27,211.43,211.22,1751987460000,1439
AAPL,62872,211.26,211.33,211.36,211.25,1751987520000,1051
AAPL,72336,211.33,211.29,211.37,211.25,1751987580000,939
AAPL,84007,211.28,211.33,211.42,211.27,1751987640000,1105
AAPL,98310,211.33,211.15,211.37,211.13,1751987700000,1902
AAPL,92841,211.15,211.11,211.15,210.95,1751987760000,1414
AAPL,46212,211.10,210.98,211.10,210.93,1751987820000,880
AAPL,92348,210.99,210.85,211.04,210.82,1751987880000,1399
AAPL,115798,210.85,210.59,210.85,210.57,1751987940000,1627
AAPL,129390,210.60,210.40,210.65,210.39,1751988000000,1972
AAPL,104740,210.39,210.22,210.44,210.22,1751988060000,1501
AAPL,115559,210.22,210.18,210.29,210.15,1751988120000,1440
AAPL,108018,210.18,210.06,210.19,210.00,1751988180000,1634
AAPL,92644,210.08,210.12,210.13,209.93,1751988240000,1430
AAPL,49316,210.11,210.09,210.13,209.98,1751988300000,1054
AAPL,92266,210.09,210.03,210.25,209.99,1751988360000,1292
AAPL,76312,210.02,210.00,210.05,209.92,1751988420000,1094
AAPL,69698,210.01,209.82,210.01,209.82,1751988480000,1104
AAPL,86729,209.82,209.87,209.89,209.78,1751988540000,1314
AAPL,56993,209.88,209.96,209.98,209.88,1751988600000,931
AAPL,73850,209.99,210.07,210.09,209.98,1751988660000,1002
AAPL,60912,210.06,209.85,210.09,209.85,1751988720000,989
AAPL,48891,209.87,209.96,210.01,209.87,1751988780000,907
AAPL,51279,209.98,209.91,210.03,209.89,1751988840000,899
AAPL,74153,209.90,209.98,210.02,209.86,1751988900000,875
AAPL,52981,209.97,209.93,209.98,209.86,1751988960000,957
AAPL,57087,209.93,209.93,210.02,209.90,1751989020000,803
AAPL,55438,209.93,209.90,209.97,209.85,1751989080000,926
AAPL,49713,209.89,209.85,209.90,209.78,1751989140000,879
AAPL,67643,209.86,209.91,209.93,209.79,1751989200000,1065
AAPL,125566,209.90,210.06,210.09,209.88,1751989260000,1358
AAPL,69780,210.05,209.93,210.05,209.86,1751989320000,961
AAPL,58148,209.92,209.89,210.03,209.83,1751989380000,939
AAPL,40012,209.88,209.93,209.96,209.83,1751989440000,726
AAPL,68843,209.93,210.06,210.07,209.92,1751989500000,1060
AAPL,115510,210.07,210.15,210.30,210.06,1751989560000,1370
AAPL,61176,210.18,209.95,210.21,209.93,1751989620000,1064
AAPL,53565,209.95,209.97,210.04,209.92,1751989680000,1046
AAPL,61927,209.98,209.96,210.00,209.93,1751989740000,959
AAPL,80592,209.97,210.13,210.13,209.95,1751989800000,1247
AAPL,64592,210.13,210.07,210.15,209.99,1751989860000,894
AAPL,130382,210.06,210.27,210.27,210.04,1751989920000,1514
AAPL,107722,210.26,210.30,210.35,210.19,1751989980000,1448
AAPL,64188,210.29,210.46,210.48,210.27,1751990040000,1124
AAPL,110074,210.44,210.42,210.51,210.38,1751990100000,1345
AAPL,69567,210.42,210.47,210.52,210.36,1751990160000,964
AAPL,67471,210.49,210.58,210.63,210.46,1751990220000,1072
AAPL,56516,210.58,210.59,210.64,210.56,1751990280000,888
AAPL,59649,210.60,210.55,210.65,210.53,1751990340000,907
AAPL,36179,210.56,210.52,210.63,210.51,1751990400000,767
AAPL,44647,210.52,210.51,210.58,210.46,1751990460000,806
AAPL,35108,210.52,210.55,210.61,210.51,1751990520000,673
AAPL,68011,210.54,210.65,210.74,210.54,1751990580000,1030
AAPL,38456,210.65,210.70,210.73,210.62,1751990640000,651
AAPL,71270,210.68,210.67,210.69,210.54,1751990700000,1006
AAPL,79575,210.67,210.87,210.92,210.67,1751990760000,1197
AAPL,63750,210.86,210.83,210.87,210.77,1751990820000,985
AAPL,52381,210.85,210.92,210.92,210.80,1751990880000,868
AAPL,37586,210.92,210.81,210.94,210.80,1751990940000,789
AAPL,67467,210.80,210.97,210.98,210.76,1751991000000,1072
AAPL,146342,210.97,210.95,211.07,210.93,1751991060000,2020
AAPL,56036,210.99,210.94,211.04,210.90,1751991120000,686
AAPL,52771,210.94,210.86,210.96,210.86,1751991180000,828
AAPL,59493,210.86,210.95,210.99,210.86,1751991240000,692
AAPL,40105,210.97,210.99,211.03,210.94,1751991300000,669
AAPL,42169,210.99,210.87,210.99,210.84,1751991360000,707
AAPL,34863,210.86,210.95,210.98,210.86,1751991420000,640
AAPL,81550,210.94,211.01,211.12,210.94,1751991480000,1246
AAPL,31333,211.01,210.98,211.02,210.92,1751991540000,582
AAPL,39631,211.00,210.91,211.03,210.89,1751991600000,698
AAPL,50788,210.90,211.01,211.01,210.82,1751991660000,958
AAPL,58884,211.02,211.09,211.13,211.00,1751991720000,935
AAPL,52217,211.10,211.16,211.19,211.09,1751991780000,907
AAPL,31316,211.16,211.07,211.16,211.05,1751991840000,643
AAPL,42385,211.07,211.00,211.13,211.00,1751991900000,749
AAPL,49490,211.01,211.01,211.15,211.00,1751991960000,843
AAPL,44869,211.01,210.88,211.05,210.87,1751992020000,795
AAPL,41537,210.89,210.94,210.96,210.85,1751992080000,765
AAPL,95397,210.95,210.83,210.98,210.82,1751992140000,1039
AAPL,75564,210.84,210.70,210.89,210.63,1751992200000,1104
AAPL,46955,210.71,210.74,210.80,210.71,1751992260000,706
AAPL,97021,210.75,210.69,210.88,210.53,1751992320000,1812
AAPL,58275,210.67,210.62,210.74,210.54,1751992380000,917
AAPL,67593,210.62,210.61,210.68,210.57,1751992440000,658
AAPL,90368,210.62,210.37,210.63,210.26,1751992500000,1692
AAPL,83975,210.36,210.56,210.56,210.27,1751992560000,1128
AAPL,65177,210.57,210.60,210.69,210.55,1751992620000,759
AAPL,47790,210.60,210.73,210.73,210.57,1751992680000,698
AAPL,39827,210.72,210.66,210.72,210.64,1751992740000,763
AAPL,38759,210.66,210.53,210.66,210.50,1751992800000,741
AAPL,37855,210.54,210.47,210.55,210.45,1751992860000,718
AAPL,35767,210.48,210.57,210.60,210.48,1751992920000,622
AAPL,34666,210.56,210.53,210.65,210.53,1751992980000,585
AAPL,32172,210.54,210.57,210.59,210.51,1751993040000,563
AAPL,69344,210.57,210.48,210.59,210.45,1751993100000,1038
AAPL,28262,210.50,210.51,210.51,210.40,1751993160000,619
AAPL,37354,210.52,210.66,210.66,210.50,1751993220000,693
AAPL,53498,210.64,210.69,210.73,210.61,1751993280000,657
AAPL,34652,210.68,210.64,210.73,210.59,1751993340000,765
AAPL,41294,210.65,210.58,210.66,210.52,1751993400000,787
AAPL,43506,210.59,210.67,210.70,210.59,1751993460000,729
AAPL,33732,210.67,210.52,210.68,210.52,1751993520000,716
AAPL,50801,210.53,210.45,210.53,210.43,1751993580000,685
AAPL,71907,210.46,210.53,210.53,210.40,1751993640000,1000
AAPL,141364,210.53,210.50,210.62,210.45,1751993700000,1444
AAPL,72706,210.51,210.53,210.57,210.46,1751993760000,795
AAPL,61542,210.53,210.57,210.64,210.47,1751993820000,841
AAPL,88174,210.58,210.35,210.60,210.34,1751993880000,1055
